adapter,reader,modelname,answer,logits_answer,data_id,timestamp
race,bert-base-uncased,base,Three.,"tensor([[-1.0540, -3.2825, -2.2065, -2.7813]])",middle3625.txt,2023-01-23 21:46:47.190719
race,bert-base-uncased,base,"unhealthy, polite and boring","tensor([[-1.4025, -2.8919,  4.1286,  2.9136]])",middle3625.txt,2023-01-23 21:46:49.484563
race,bert-base-uncased,base,You can't play games with strangers on the Internet.,"tensor([[-8.5688,  1.6120, -5.5819, -9.1867]])",middle3625.txt,2023-01-23 21:46:51.591388
race,bert-base-uncased,base,some interesting things about computer games,"tensor([[ 2.0122,  4.9402, -3.5808,  5.8760]])",middle3625.txt,2023-01-23 21:46:53.640930
race,bert-base-uncased,base,a new coat,"tensor([[ -6.7799,   9.9495, -10.6153,  -9.7138]])",middle4132.txt,2023-01-23 21:46:55.054802
race,bert-base-uncased,base,She feels happy.,"tensor([[ 2.3583, -8.0408, -1.6948,  1.9246]])",middle4132.txt,2023-01-23 21:46:56.468166
race,bert-base-uncased,base,She changes all the buttons of the coat.,"tensor([[ 3.2821, -5.1662, -7.5634,  0.7991]])",middle4132.txt,2023-01-23 21:46:57.844704
race,bert-base-uncased,base,A lost button,"tensor([[ -6.7519,  -7.3391, -10.5306, -11.1023]])",middle4132.txt,2023-01-23 21:46:59.203830
race,bert-base-uncased,base,has a big wallet.,"tensor([[-4.6382,  3.3404, 10.4285,  3.7174]])",middle6062.txt,2023-01-23 21:47:00.646961
race,bert-base-uncased,base,it is her birthday,"tensor([[ -1.4541,   2.1358,  -6.9703, -10.4532]])",middle6062.txt,2023-01-23 21:47:02.147525
race,bert-base-uncased,base,she does not know how to use a CD player.,"tensor([[  1.0144,  -9.4518, -10.2912,  -7.4563]])",middle6062.txt,2023-01-23 21:47:03.703152
race,bert-base-uncased,base,two teddy bears,"tensor([[-8.8560, -9.9170,  0.9505,  6.5441]])",middle6062.txt,2023-01-23 21:47:05.210332
race,bert-base-uncased,base,is the best father in the world.,"tensor([[-3.0859, 11.4105,  0.2832, -7.1501]])",middle6062.txt,2023-01-23 21:47:06.783895
race,bert-base-uncased,base,his,"tensor([[-0.9331,  5.3560,  6.5047, -1.3944]])",middle2489.txt,2023-01-23 21:47:08.122220
race,bert-base-uncased,base,at home,"tensor([[-9.7122,  3.7630, -8.9144, -2.6137]])",middle2489.txt,2023-01-23 21:47:09.478943
race,bert-base-uncased,base,Xiao Ming 's mother,"tensor([[-4.3317, -7.1385, -2.2313, -8.3508]])",middle2489.txt,2023-01-23 21:47:10.814668
race,bert-base-uncased,base,Nobody opens the door.,"tensor([[-5.4785, -7.1224,  3.3775, -3.1503]])",middle2489.txt,2023-01-23 21:47:12.141699
race,bert-base-uncased,base,It isn't Xiao Ming 's house.,"tensor([[-1.3993, -5.9149, -0.8497,  0.6819]])",middle2489.txt,2023-01-23 21:47:13.449001
race,bert-base-uncased,base,his poetic lyrics,"tensor([[14.2132, -1.9478,  2.5771,  7.1358]])",middle7752.txt,2023-01-23 21:47:14.915543
race,bert-base-uncased,base,playing the guitar,"tensor([[ -7.0866,   2.8030, -10.2988,  -9.0850]])",middle7752.txt,2023-01-23 21:47:16.389602
race,bert-base-uncased,base,41,"tensor([[-5.4342, -2.9404, -7.0285, -1.8429]])",middle7752.txt,2023-01-23 21:47:17.906864
race,bert-base-uncased,base,he refused to change their musical style,"tensor([[-7.6313, -7.4708, -8.2394, 13.6882]])",middle7752.txt,2023-01-23 21:47:19.494935
race,bert-base-uncased,base,want to stop their kids' stomachaches in a short time,"tensor([[-0.8861, -8.9765, -0.2685, -4.2791]])",middle1990.txt,2023-01-23 21:47:21.558981
race,bert-base-uncased,base,Kids with active imaginations.,"tensor([[-8.5063, -5.9402, -9.6043, 11.5206]])",middle1990.txt,2023-01-23 21:47:23.591188
race,bert-base-uncased,base,adults can also use their imaginations to make stomachaches go away,"tensor([[10.3000, -8.9971, -5.7520, -4.7029]])",middle1990.txt,2023-01-23 21:47:25.707114
race,bert-base-uncased,base,"Children can ""imagine"" their pain away.","tensor([[-10.8471,   0.4690,  -1.5674,  -8.7025]])",middle1990.txt,2023-01-23 21:47:27.848232
race,bert-base-uncased,base,doesn't like you,"tensor([[ 6.1200, -3.7353, -3.9467, -8.4009]])",middle84.txt,2023-01-23 21:47:30.013544
race,bert-base-uncased,base,to ask about the price of a certain thing,"tensor([[ 0.2581, -8.1878, -9.7537, -8.7805]])",middle84.txt,2023-01-23 21:47:32.130126
race,bert-base-uncased,base,soup,"tensor([[ 7.4287, -1.9414,  1.5553, -3.1323]])",middle84.txt,2023-01-23 21:47:34.159633
race,bert-base-uncased,base,ask what time you should arrive,"tensor([[11.4889, -8.9594, -8.6307, -6.0408]])",middle84.txt,2023-01-23 21:47:36.284548
race,bert-base-uncased,base,You can call your host the next day or write a letter of thanks after that,"tensor([[-6.7434, -3.2201,  0.5668,  8.1359]])",middle84.txt,2023-01-23 21:47:38.376468
race,bert-base-uncased,base,Sonia's,"tensor([[-3.4213,  0.1885,  0.2422, -6.9049]])",middle8201.txt,2023-01-23 21:47:39.662237
race,bert-base-uncased,base,a girl,"tensor([[ 0.9066, -2.4833,  0.4409, -7.7435]])",middle8201.txt,2023-01-23 21:47:40.997447
race,bert-base-uncased,base,is,"tensor([[ 1.0517,  5.7817,  0.7586, -1.1169]])",middle8201.txt,2023-01-23 21:47:42.325951
race,bert-base-uncased,base,A teacher.,"tensor([[ -4.7666, -11.0581,  10.1884, -10.9933]])",middle1813.txt,2023-01-23 21:47:43.393260
race,bert-base-uncased,base,30,"tensor([[-4.0679, -2.5998, -2.5694, -1.6372]])",middle1813.txt,2023-01-23 21:47:44.376402
race,bert-base-uncased,base,She buys old book for them.,"tensor([[-10.9673,   9.3299, -10.3974,  -7.5815]])",middle1813.txt,2023-01-23 21:47:45.357384
race,bert-base-uncased,base,She wants to have a good school.,"tensor([[ 9.6340, -1.2794, -6.4969,  6.3520]])",middle1813.txt,2023-01-23 21:47:46.368634
race,bert-base-uncased,base,in a city,"tensor([[ -7.1404,  -3.7249,  -1.2547, -10.3625]])",middle7063.txt,2023-01-23 21:47:47.748229
race,bert-base-uncased,base,he never washed them clean,"tensor([[  0.5075,  -1.3468,   6.3060, -10.8181]])",middle7063.txt,2023-01-23 21:47:49.199586
race,bert-base-uncased,base,Mike was one year younger than Ted.,"tensor([[-1.3419, -8.6869, -2.0777, -1.6538]])",middle7063.txt,2023-01-23 21:47:50.579706
race,bert-base-uncased,base,Two album and a single Pon de Replay.,"tensor([[-4.2838, -2.1348,  3.0850,  6.3130]])",middle8160.txt,2023-01-23 21:47:53.051909
race,bert-base-uncased,base,"To record her album ,A Girl Like Me ,with the help of Rogers.","tensor([[-7.4994, -9.1078, -8.8039, -7.4424]])",middle8160.txt,2023-01-23 21:47:55.514687
race,bert-base-uncased,base,It made Rihanna a star.,"tensor([[-3.1655,  2.8172,  4.8892, -6.8400]])",middle8160.txt,2023-01-23 21:47:58.155375
race,bert-base-uncased,base,Has organized some concerts to raise money for charity,"tensor([[-5.2960,  3.3727,  5.7779, -7.3800]])",middle8160.txt,2023-01-23 21:48:00.922878
race,bert-base-uncased,base,see its color,"tensor([[-0.7324, -3.4159, -4.0244, -6.5104]])",middle13.txt,2023-01-23 21:48:02.289581
race,bert-base-uncased,base,all light,"tensor([[-1.8170, -3.6224,  5.1793, -1.0548]])",middle13.txt,2023-01-23 21:48:03.800723
race,bert-base-uncased,base,less light,"tensor([[ 0.3861,  0.5086, -2.5945, -2.1202]])",middle13.txt,2023-01-23 21:48:05.179174
race,bert-base-uncased,base,dark-colored clothes,"tensor([[-4.1213, -7.4629, -7.1412, -4.8779]])",middle13.txt,2023-01-23 21:48:06.560277
race,bert-base-uncased,base,Color,"tensor([[ 9.0313, 13.9381, -9.0372, -9.9962]])",middle13.txt,2023-01-23 21:48:07.757986
race,bert-base-uncased,base,at 7:40,"tensor([[-1.1162, -5.4399, -1.9837, -3.8174]])",middle2507.txt,2023-01-23 21:48:09.317952
race,bert-base-uncased,base,His arm was broken and cannot wash or put on his clothes himself.,"tensor([[-10.1042, -10.4426,  -7.4256,  13.1252]])",middle2507.txt,2023-01-23 21:48:10.787484
race,bert-base-uncased,base,two calls,"tensor([[-5.0108, -0.7671, -5.4606, -3.1989]])",middle2507.txt,2023-01-23 21:48:12.281858
race,bert-base-uncased,base,She likes helping people when they need her.,"tensor([[-7.5109, 13.2478,  5.0124,  2.0556]])",middle2507.txt,2023-01-23 21:48:13.833168
race,bert-base-uncased,base,He saved a boy out of a pond.,"tensor([[-0.0563, -8.4383, -8.4569,  0.0133]])",middle6630.txt,2023-01-23 21:48:16.533761
race,bert-base-uncased,base,didn't accept money for helping others,"tensor([[-6.2713, -1.8246, -3.2037, -5.2202]])",middle6630.txt,2023-01-23 21:48:19.341552
race,bert-base-uncased,base,He took the place of the nobleman's son.,"tensor([[ 2.3407, -5.5974, -7.2571,  0.9183]])",middle6630.txt,2023-01-23 21:48:22.366196
race,bert-base-uncased,base,An act of kindness always helps.,"tensor([[-1.8946,  4.9931, 10.9193, -1.7764]])",middle6630.txt,2023-01-23 21:48:25.370218
race,bert-base-uncased,base,By searching for him in the field.,"tensor([[ 2.7212, -5.9289, -1.6309, -8.5285]])",middle6190.txt,2023-01-23 21:48:28.390205
race,bert-base-uncased,base,To get help.,"tensor([[  2.0111,  -9.3698, -10.7367,  -8.1606]])",middle6190.txt,2023-01-23 21:48:31.526235
race,bert-base-uncased,base,a--d--c--b,"tensor([[6.5981, 7.1480, 7.1239, 6.7517]])",middle6190.txt,2023-01-23 21:48:34.852629
race,bert-base-uncased,base,She went a long way to find her owners,"tensor([[-9.5654, -8.6530, -8.7449, -1.5856]])",middle6190.txt,2023-01-23 21:48:37.929559
race,bert-base-uncased,base,"Thanks to Benjamin, Thumper could stay safe in the field.","tensor([[-0.2895,  3.0644,  6.5344, -3.2986]])",middle6190.txt,2023-01-23 21:48:41.049318
race,bert-base-uncased,base,warm,"tensor([[-5.5737, -9.7098, -9.0707, -6.3376]])",middle4492.txt,2023-01-23 21:48:42.411821
race,bert-base-uncased,base,They tried to stay ahead of them.,"tensor([[ 8.5262,  3.6830, -0.2552, 10.6180]])",middle4492.txt,2023-01-23 21:48:43.758016
race,bert-base-uncased,base,"the sun,the moon and the earth","tensor([[-5.9576,  1.7120, -4.7241, -2.4618]])",middle4492.txt,2023-01-23 21:48:45.094019
race,bert-base-uncased,base,going to work,"tensor([[ -3.2635,  -8.4194,  -3.0527, -10.7017]])",middle8280.txt,2023-01-23 21:48:46.436559
race,bert-base-uncased,base,worked hard,"tensor([[-5.8937, -8.8920, -3.8782, -8.7044]])",middle8280.txt,2023-01-23 21:48:47.573536
race,bert-base-uncased,base,it will rain soon,"tensor([[-0.6287, -6.6330, -9.5255, -7.3979]])",middle8280.txt,2023-01-23 21:48:48.673128
race,bert-base-uncased,base,one said the rain would do good to the crops and the other didn't think so,"tensor([[-10.6837,  -9.2968,   0.1372,  -6.8470]])",middle8280.txt,2023-01-23 21:48:49.806586
race,bert-base-uncased,base,wanted to know why they were quarreling,"tensor([[-9.4984, -1.5561,  5.2098, -7.1487]])",middle8280.txt,2023-01-23 21:48:50.963876
race,bert-base-uncased,base,Three,"tensor([[-5.6968, -7.5645, -6.1489, -3.7105]])",middle8280.txt,2023-01-23 21:48:52.009860
race,bert-base-uncased,base,A racing bike.,"tensor([[ 2.8413,  8.4357, -2.6999, -3.0213]])",middle909.txt,2023-01-23 21:48:53.767579
race,bert-base-uncased,base,Because they are fun and cool.,"tensor([[-9.8184, -8.6867,  5.5402, -9.6245]])",middle909.txt,2023-01-23 21:48:55.571473
race,bert-base-uncased,base,a wheel hidden in,"tensor([[ 6.7015,  1.1399, -4.0772, -1.5489]])",middle909.txt,2023-01-23 21:48:57.354919
race,bert-base-uncased,base,fell down and got hurt,"tensor([[-7.8736, -3.8475, -3.2150,  8.6138]])",middle909.txt,2023-01-23 21:48:59.315253
race,bert-base-uncased,base,They are bad for kids' health.,"tensor([[-10.9455,  -9.9352,  -1.6933,  -9.5584]])",middle909.txt,2023-01-23 21:49:01.250711
race,bert-base-uncased,base,There were 400 middle school students taking part in the study.,"tensor([[-3.0783, -8.1914,  2.2384, -6.0699]])",middle7890.txt,2023-01-23 21:49:03.459074
race,bert-base-uncased,base,Seasons and Moods,"tensor([[  2.1236, -10.9700,  -6.8924, -11.1529]])",middle7890.txt,2023-01-23 21:49:05.554184
race,bert-base-uncased,base,Because the school bus didn't arrive.,"tensor([[-5.7290, -9.8967, -5.9245, -4.5176]])",middle1839.txt,2023-01-23 21:49:07.274505
race,bert-base-uncased,base,tired,"tensor([[-9.4396,  1.3171, -8.3148, -8.0913]])",middle1839.txt,2023-01-23 21:49:09.033860
race,bert-base-uncased,base,Dolphin shows,"tensor([[ 1.8288, -9.0351, -7.5809, -1.8950]])",middle1839.txt,2023-01-23 21:49:10.781029
race,bert-base-uncased,base,Rainy,"tensor([[ -9.8215, -10.2337,  -8.6625,  -5.7247]])",middle1839.txt,2023-01-23 21:49:12.406644
race,bert-base-uncased,base,Terrible,"tensor([[  6.1334,  -1.9860, -10.7388, -10.2880]])",middle1839.txt,2023-01-23 21:49:14.078480
race,bert-base-uncased,base,A millisecond really makes a difference to the Internet users.,"tensor([[-2.5639, -0.7800, -8.0690,  4.0670]])",middle7097.txt,2023-01-23 21:49:17.103723
race,bert-base-uncased,base,People are more likely to wait for loading films than maps,"tensor([[-7.1484, -6.4040, -8.9163, -4.5386]])",middle7097.txt,2023-01-23 21:49:20.079444
race,bert-base-uncased,base,"Don't make me ""www.wait"".","tensor([[-1.0819, -1.9334, -6.7753, -9.0153]])",middle7097.txt,2023-01-23 21:49:23.361186
race,bert-base-uncased,base,three,"tensor([[-2.3573, -1.8336, -2.3977, -2.5631]])",middle6975.txt,2023-01-23 21:49:24.816527
race,bert-base-uncased,base,48,"tensor([[-1.2620, -2.8204, -0.7121, -0.2838]])",middle6975.txt,2023-01-23 21:49:26.243371
race,bert-base-uncased,base,Group 2,"tensor([[-3.7334,  5.4663, -2.0690, -4.1805]])",middle6975.txt,2023-01-23 21:49:27.759460
race,bert-base-uncased,base,To clean the rooms for the old people.,"tensor([[ 5.1635,  4.4862, -6.5568, -4.6132]])",middle6975.txt,2023-01-23 21:49:29.288588
race,bert-base-uncased,base,Make dinner for them.,"tensor([[-9.3553,  4.0515, -5.8744, -5.7800]])",middle6975.txt,2023-01-23 21:49:30.577215
race,bert-base-uncased,base,We should learn to deal with negative peer pressure.,"tensor([[ 4.7225, 11.9979, -2.4918, -4.2664]])",middle6244.txt,2023-01-23 21:49:32.988728
race,bert-base-uncased,base,a week,"tensor([[ 7.5710,  0.6284, -2.2257, -0.5146]])",middle8161.txt,2023-01-23 21:49:35.115544
race,bert-base-uncased,base,It can kill people sometimes.,"tensor([[-5.8661, -7.1548, -5.9469,  6.3435]])",middle8161.txt,2023-01-23 21:49:37.300196
race,bert-base-uncased,base,it can't stop you from getting the flu virus,"tensor([[ 8.3121, -1.3365,  2.9862, -1.5504]])",middle8161.txt,2023-01-23 21:49:39.760965
race,bert-base-uncased,base,the flu virus changes every few years,"tensor([[ -4.4721,  10.5940,   2.1039, -10.2345]])",middle8161.txt,2023-01-23 21:49:42.249336
race,bert-base-uncased,base,staying indoors,"tensor([[ 3.4973, -9.1865, -9.1241, -7.8804]])",middle8161.txt,2023-01-23 21:49:44.697495
race,bert-base-uncased,base,the museum,"tensor([[-9.5187, -9.9718, -6.8755, -7.5551]])",middle1865.txt,2023-01-23 21:49:46.330415
race,bert-base-uncased,base,the first,"tensor([[-0.5349, -4.2014, -4.8606, -4.5473]])",middle1865.txt,2023-01-23 21:49:47.960035
race,bert-base-uncased,base,Three.,"tensor([[-5.5516, -4.8471, -3.0346, -4.3400]])",middle1865.txt,2023-01-23 21:49:49.523789
race,bert-base-uncased,base,Tom doesn't understand what the big boy does.,"tensor([[-5.6500, -0.6298, -3.7123, -0.0198]])",middle1865.txt,2023-01-23 21:49:51.203577
race,bert-base-uncased,base,a student,"tensor([[-10.2173, -10.8309, -10.0611,  -9.5992]])",middle1865.txt,2023-01-23 21:49:52.587587
race,bert-base-uncased,base,big; quick,"tensor([[-7.4733, -4.4855, 12.0494, -4.8168]])",middle344.txt,2023-01-23 21:49:54.228798
race,bert-base-uncased,base,cities,"tensor([[-2.5078, -8.0754,  1.6395, 13.9465]])",middle344.txt,2023-01-23 21:49:55.837698
race,bert-base-uncased,base,white,"tensor([[-0.8562, -7.6062, -8.5185, -7.5253]])",middle344.txt,2023-01-23 21:49:57.478665
race,bert-base-uncased,base,Chicken,"tensor([[ -9.6061,  -7.6262, -10.3049,  -9.8025]])",middle344.txt,2023-01-23 21:49:59.236241
race,bert-base-uncased,base,outside,"tensor([[  1.0673,  -8.8098,   2.0159, -10.1344]])",middle344.txt,2023-01-23 21:50:00.950460
race,bert-base-uncased,base,Communication and transportation are developing fast,"tensor([[-5.6060, -3.6932, -0.3255, -3.6548]])",middle3841.txt,2023-01-23 21:50:02.650053
race,bert-base-uncased,base,"over 6,700","tensor([[-2.8283, -3.1064, -1.8877, -2.2011]])",middle3841.txt,2023-01-23 21:50:04.338325
race,bert-base-uncased,base,It's impossible for a person to learn all the languages.,"tensor([[-7.7045, -8.3462, -7.2317, -7.9484]])",middle3841.txt,2023-01-23 21:50:06.132628
race,bert-base-uncased,base,Spotty succeeded in escaping from the trap.,"tensor([[-7.1773, -3.7883,  0.7331, -4.4767]])",middle8238.txt,2023-01-23 21:50:08.465744
race,bert-base-uncased,base,Even dogs can have strong friendship.,"tensor([[-6.5436, -1.2921, -5.4504, -2.9857]])",middle8238.txt,2023-01-23 21:50:10.690063
race,bert-base-uncased,base,Some of the students,"tensor([[ 2.4896, -8.4185, -6.3249, -7.9517]])",middle1463.txt,2023-01-23 21:50:11.839239
race,bert-base-uncased,base,Fifty,"tensor([[-2.8323, -4.2501, -1.7233, -1.5512]])",middle1463.txt,2023-01-23 21:50:12.959289
race,bert-base-uncased,base,come to school very early,"tensor([[ 0.4215, -3.1691,  0.5615, -5.0147]])",middle1463.txt,2023-01-23 21:50:14.251535
race,bert-base-uncased,base,7:30,"tensor([[-3.0515, -2.8745, -3.3244, -4.4103]])",middle1463.txt,2023-01-23 21:50:15.470647
race,bert-base-uncased,base,Ten,"tensor([[-1.2463,  2.4698, -0.4556,  5.8697]])",middle1463.txt,2023-01-23 21:50:16.715066
race,bert-base-uncased,base,They enjoy a special meal,"tensor([[ 1.7405,  2.7558,  4.2322, -9.1182]])",middle2074.txt,2023-01-23 21:50:17.823152
race,bert-base-uncased,base,Wednesday.,"tensor([[-0.4739, -0.6641, 10.3399,  8.1405]])",middle2074.txt,2023-01-23 21:50:18.894387
race,bert-base-uncased,base,It's a fast ride.,"tensor([[-2.6710, -5.1263,  1.5920, 10.4360]])",middle2074.txt,2023-01-23 21:50:19.906214
race,bert-base-uncased,base,with the energy from sunlight,"tensor([[ 4.1805, 13.8142,  1.1582, -2.3550]])",middle364.txt,2023-01-23 21:50:21.798834
race,bert-base-uncased,base,It will turn dark.,"tensor([[2.9223, 1.8438, 9.8835, 7.8062]])",middle364.txt,2023-01-23 21:50:23.768808
race,bert-base-uncased,base,potatoes,"tensor([[-9.4976, -8.1390, -9.2269, -9.2865]])",middle364.txt,2023-01-23 21:50:25.658991
race,bert-base-uncased,base,Green house of the future,"tensor([[ -2.7025,  14.7520, -10.0637,   0.3444]])",middle364.txt,2023-01-23 21:50:27.668939
race,bert-base-uncased,base,"""I feel ...""","tensor([[ 0.7946, -1.8866, -3.4783, -7.7422]])",middle7998.txt,2023-01-23 21:50:29.839076
race,bert-base-uncased,base,Listen to the other person carefully and ask some questions.,"tensor([[-6.8424,  1.3273,  4.5552, -4.2505]])",middle7998.txt,2023-01-23 21:50:31.996570
race,bert-base-uncased,base,It is a way that tells who is right and who is wrong.,"tensor([[ 3.5986,  2.2464,  5.5681, -1.0399]])",middle7998.txt,2023-01-23 21:50:34.139305
race,bert-base-uncased,base,went to school,"tensor([[ 0.2155,  3.1004, -1.4190, -8.5002]])",middle6374.txt,2023-01-23 21:50:36.601073
race,bert-base-uncased,base,was happy.,"tensor([[ 1.9922, -5.0304, -9.5762, -9.4920]])",middle6374.txt,2023-01-23 21:50:38.963703
race,bert-base-uncased,base,a lot,"tensor([[-9.8196, -8.0676, -9.7835, -8.7283]])",middle6374.txt,2023-01-23 21:50:41.267787
race,bert-base-uncased,base,He wanted to watch the football final on TV,"tensor([[-0.0454, -7.8717, -7.9197, -8.2435]])",middle6374.txt,2023-01-23 21:50:43.756487
race,bert-base-uncased,base,both A and B,"tensor([[-7.5425, -3.5639,  5.1751, -6.2151]])",middle6374.txt,2023-01-23 21:50:46.246229
race,bert-base-uncased,base,put your head out of the window and look,"tensor([[-0.0517, -2.9890, -6.4163, -4.3810]])",middle7923.txt,2023-01-23 21:50:48.138292
race,bert-base-uncased,base,All the sailors gather (  )on deck,"tensor([[ 5.7287,  0.4674, -1.2748, -4.8441]])",middle7923.txt,2023-01-23 21:50:50.009091
race,bert-base-uncased,base,was still in an upstairs room,"tensor([[-8.7778, -4.5718,  0.0486, -7.8370]])",middle7923.txt,2023-01-23 21:50:51.861823
race,bert-base-uncased,base,In Shanghai History Museum.,"tensor([[12.1736, -0.7809, -7.5549, -5.7744]])",middle770.txt,2023-01-23 21:50:54.128476
race,bert-base-uncased,base,Three,"tensor([[-4.5715, -2.3888, -0.4128, -0.8114]])",middle770.txt,2023-01-23 21:50:56.219221
race,bert-base-uncased,base,Dolphins dancing to the music.,"tensor([[-4.5157, -0.4278, -6.0919, -1.2037]])",middle770.txt,2023-01-23 21:50:58.284591
race,bert-base-uncased,base,Fifteen yuan.,"tensor([[-3.7533, -2.3008, -3.1427, -2.9132]])",middle770.txt,2023-01-23 21:51:00.390209
race,bert-base-uncased,base,The sea animals perform three times a day.,"tensor([[-9.0582, -6.6365, -8.6616, -5.5043]])",middle770.txt,2023-01-23 21:51:02.559661
race,bert-base-uncased,base,Nervous.,"tensor([[-1.6107,  7.1309,  3.1237,  1.5591]])",middle3334.txt,2023-01-23 21:51:04.824120
race,bert-base-uncased,base,To do something special.,"tensor([[-7.3173, -4.4113, -7.3624, -3.7879]])",middle3334.txt,2023-01-23 21:51:07.180076
race,bert-base-uncased,base,The class enjoyed Sam's talk very much.,"tensor([[-8.2339, -7.3894, -7.6780,  5.7464]])",middle3334.txt,2023-01-23 21:51:09.641945
race,bert-base-uncased,base,A special day,"tensor([[ -6.2298, -10.5339, -11.1508, -11.1670]])",middle3334.txt,2023-01-23 21:51:11.940233
race,bert-base-uncased,base,Karen.,"tensor([[ 8.3167,  2.2538,  2.1602, -1.4933]])",middle5671.txt,2023-01-23 21:51:14.165714
race,bert-base-uncased,base,Food.,"tensor([[-10.6746,   2.2571,  -7.3852, -10.6534]])",middle5671.txt,2023-01-23 21:51:16.445600
race,bert-base-uncased,base,on the Internet,"tensor([[ 1.7491, -4.3985,  9.4556, -8.3801]])",middle5671.txt,2023-01-23 21:51:18.767504
race,bert-base-uncased,base,on a cold night,"tensor([[-8.1703, -7.7191, -9.3533, -1.6831]])",middle4084.txt,2023-01-23 21:51:20.817547
race,bert-base-uncased,base,unhappy,"tensor([[-3.7040, -7.3481, -7.0052, -4.7662]])",middle4084.txt,2023-01-23 21:51:22.867169
race,bert-base-uncased,base,He was a dishonest man,"tensor([[-6.7219, -9.8055,  1.7520, -2.9693]])",middle4084.txt,2023-01-23 21:51:24.887225
race,bert-base-uncased,base,get more than twenty dollars,"tensor([[-6.8828,  1.8513, -4.6953, -7.7039]])",middle4084.txt,2023-01-23 21:51:26.937099
race,bert-base-uncased,base,introduce the topic of willpower to the readers,"tensor([[-3.9786, 11.3020, -9.3179,  6.4641]])",middle2946.txt,2023-01-23 21:51:30.164030
race,bert-base-uncased,base,It showed that willpower is the most important to success and a happy life.,"tensor([[-7.7875, -2.1641, -3.5956, -3.2081]])",middle2946.txt,2023-01-23 21:51:33.402537
race,bert-base-uncased,base,You should have a goal every day.,"tensor([[ 1.9411, -7.5562, -5.1652, -6.1096]])",middle2946.txt,2023-01-23 21:51:36.757934
race,bert-base-uncased,base,How willpower is important to success and how we can make it stronger.,"tensor([[13.3702, 10.3570, 15.2845, 14.1514]])",middle2946.txt,2023-01-23 21:51:40.386600
race,bert-base-uncased,base,English,"tensor([[ 3.4074, 14.5613,  0.4071,  2.7474]])",middle4460.txt,2023-01-23 21:51:42.796140
race,bert-base-uncased,base,Spanish,"tensor([[-10.2521,  -7.6999,  -9.7486,  -9.9443]])",middle4460.txt,2023-01-23 21:51:45.165959
race,bert-base-uncased,base,Six,"tensor([[-3.5532, -2.0694,  6.0975, -3.3237]])",middle4460.txt,2023-01-23 21:51:47.486418
race,bert-base-uncased,base,"Different countries, different languages","tensor([[ 6.8360,  4.7409,  3.1049, -0.4211]])",middle4460.txt,2023-01-23 21:51:49.718335
race,bert-base-uncased,base,10-15 years.,"tensor([[ 0.3163, 13.7416, -0.4476, -3.2773]])",middle6838.txt,2023-01-23 21:51:52.170592
race,bert-base-uncased,base,how its master treats it,"tensor([[ 2.7967,  3.6113,  6.8047, -0.3711]])",middle6838.txt,2023-01-23 21:51:54.604896
race,bert-base-uncased,base,the pet dog shows to its master,"tensor([[-4.7705,  5.5208,  3.6665,  7.7045]])",middle6838.txt,2023-01-23 21:51:57.040955
race,bert-base-uncased,base,In the First Class cabin.,"tensor([[-10.3365,  -8.8617,  -7.9018,  -5.4594]])",middle2118.txt,2023-01-23 21:51:59.969895
race,bert-base-uncased,base,the white lady was too impolite,"tensor([[-8.6244, -4.3212, -3.5758, -1.7007]])",middle2118.txt,2023-01-23 21:52:02.920970
race,bert-base-uncased,base,Pilots'-Club-Economy -First Class,"tensor([[-0.4848, -0.3990, -0.7495, -1.8907]])",middle2118.txt,2023-01-23 21:52:05.904750
race,bert-base-uncased,base,On a British Airways Flight,"tensor([[-9.9803, -8.0515, -9.1870, -8.7539]])",middle2118.txt,2023-01-23 21:52:09.080080
race,bert-base-uncased,base,check the things,"tensor([[  6.6270, -10.0989, -10.6730,  -9.2807]])",middle1129.txt,2023-01-23 21:52:12.026075
race,bert-base-uncased,base,It becomes a window to understand young kids.,"tensor([[-5.0154, -2.7235,  9.0986, -5.2232]])",middle1129.txt,2023-01-23 21:52:15.033737
race,bert-base-uncased,base,"Kids should try to talk face to face with people, not just micro blogging.","tensor([[-4.3829, -5.3983, -1.8927,  7.1215]])",middle1129.txt,2023-01-23 21:52:18.040501
race,bert-base-uncased,base,some pictures of the towns from all over the world,"tensor([[-7.1435, -0.1785, -0.0264,  0.5166]])",middle3670.txt,2023-01-23 21:52:19.530444
race,bert-base-uncased,base,35 yuan,"tensor([[-3.2404, -3.3642, -2.3569, -2.0590]])",middle3670.txt,2023-01-23 21:52:21.037225
race,bert-base-uncased,base,by filling in an application form,"tensor([[-2.6891, -3.3271, -6.9365,  2.0269]])",middle3670.txt,2023-01-23 21:52:22.405919
race,bert-base-uncased,base,Y=675,"tensor([[-1.2943, -1.5637, -1.6764, -3.1461]])",middle3670.txt,2023-01-23 21:52:23.941582
race,bert-base-uncased,base,a butterfly,"tensor([[-9.5293,  4.4437, 11.3398,  0.5738]])",middle3670.txt,2023-01-23 21:52:25.419885
race,bert-base-uncased,base,An unusual condition.,"tensor([[  2.0899, -10.7496, -10.7913, -11.1248]])",middle5785.txt,2023-01-23 21:52:27.670269
race,bert-base-uncased,base,"One out of every 5,000.","tensor([[ 4.5570,  5.8941,  1.8207, 12.2371]])",middle5785.txt,2023-01-23 21:52:29.818917
